trx_date,amount,currency,merchant_id,trx_date_ym
10/17/94,4968034,USD,Walmart,1994-10
10/18/94,8666577,EUR,Costco,1994-10
10/19/94,4222434,RMB,Target,1994-10
10/20/94,1241152,USD,eBay,1994-10
10/21/94,2291530,EUR,Apple,1994-10
10/22/94,1719413,RMB,Walmart,1994-10
10/23/94,3088055,USD,Costco,1994-10
10/24/94,5289183,EUR,Target,1994-10
10/25/94,1269050,RMB,eBay,1994-10
10/26/94,3299141,USD,Apple,1994-10
10/27/94,5308612,EUR,Walmart,1994-10
10/28/94,6740181,RMB,Costco,1994-10
10/29/94,1989346,USD,Target,1994-10
10/30/94,6410413,EUR,eBay,1994-10
10/31/94,9951556,RMB,Apple,1994-10
11/1/94,4605367,USD,Walmart,1994-11
11/2/94,4656481,EUR,Costco,1994-11
11/3/94,654644,RMB,Target,1994-11
11/4/94,7281080,USD,eBay,1994-11
11/5/94,1294475,EUR,Apple,1994-11
11/6/94,5981606,RMB,Walmart,1994-11
11/7/94,2480824,USD,Costco,1994-11
11/8/94,8943251,EUR,Target,1994-11
11/9/94,6822492,RMB,eBay,1994-11
11/10/94,3889185,USD,Apple,1994-11
11/11/94,7626004,EUR,Walmart,1994-11
11/12/94,7727053,RMB,Costco,1994-11
11/13/94,8655047,USD,Target,1994-11
11/14/94,7080416,EUR,eBay,1994-11
11/15/94,9707456,RMB,Apple,1994-11
11/16/94,7304703,USD,Walmart,1994-11
11/17/94,592262,EUR,Costco,1994-11
11/18/94,3201093,RMB,Target,1994-11
11/19/94,8890124,USD,eBay,1994-11
11/20/94,1593319,EUR,Apple,1994-11
11/21/94,9711822,RMB,Walmart,1994-11
11/22/94,461476,USD,Costco,1994-11
11/23/94,2741167,EUR,Target,1994-11
11/24/94,5047814,RMB,eBay,1994-11
11/25/94,8725406,USD,Apple,1994-11
11/26/94,6432238,EUR,Walmart,1994-11
11/27/94,7466874,RMB,Costco,1994-11
11/28/94,210737,USD,Target,1994-11
11/29/94,2448463,EUR,eBay,1994-11
11/30/94,1626623,RMB,Apple,1994-11
12/1/94,8577104,USD,Walmart,1994-12
12/2/94,191768,EUR,Costco,1994-12
12/3/94,7888554,RMB,Target,1994-12
12/4/94,8695038,USD,eBay,1994-12
12/5/94,7594474,EUR,Apple,1994-12
12/6/94,3776370,RMB,Walmart,1994-12
12/7/94,5218659,USD,Costco,1994-12
12/8/94,3280216,EUR,Target,1994-12
12/9/94,1955883,RMB,eBay,1994-12
12/10/94,5088713,USD,Apple,1994-12
12/11/94,6627228,EUR,Walmart,1994-12
12/12/94,1818480,RMB,Costco,1994-12
12/13/94,9114230,USD,Target,1994-12
12/14/94,3665461,EUR,eBay,1994-12
12/15/94,6432357,RMB,Apple,1994-12
12/16/94,6240407,USD,Walmart,1994-12
12/17/94,9016336,EUR,Costco,1994-12
12/18/94,8353172,RMB,Target,1994-12
12/19/94,4089919,USD,eBay,1994-12
12/20/94,7610810,EUR,Apple,1994-12
12/21/94,6928999,RMB,Walmart,1994-12
12/22/94,9370791,USD,Costco,1994-12
12/23/94,1962223,EUR,Target,1994-12
12/24/94,9358073,RMB,eBay,1994-12
12/25/94,5776973,USD,Apple,1994-12
12/26/94,4790255,EUR,Walmart,1994-12
12/27/94,4223831,RMB,Costco,1994-12
12/28/94,4998331,USD,Target,1994-12
12/29/94,8435786,EUR,eBay,1994-12
12/30/94,2079287,RMB,Apple,1994-12
12/31/94,6351837,USD,Walmart,1994-12
1/1/95,2786602,EUR,Costco,1995-01
1/2/95,9142810,RMB,Target,1995-01
1/3/95,9210495,USD,eBay,1995-01
1/4/95,5843850,EUR,Apple,1995-01
1/5/95,8429045,RMB,Walmart,1995-01
1/6/95,5779489,USD,Costco,1995-01
1/7/95,9659335,EUR,Target,1995-01
1/8/95,4673240,RMB,eBay,1995-01
1/9/95,3264711,USD,Apple,1995-01
1/10/95,9029925,EUR,Walmart,1995-01
1/11/95,2165651,RMB,Costco,1995-01
1/12/95,2083409,USD,Target,1995-01
1/13/95,2928756,EUR,eBay,1995-01
1/14/95,5539561,RMB,Apple,1995-01
1/15/95,9009612,USD,Walmart,1995-01
1/16/95,3121523,EUR,Costco,1995-01
1/17/95,9096607,RMB,Target,1995-01
1/18/95,932236,USD,eBay,1995-01
1/19/95,2422628,EUR,Apple,1995-01
1/20/95,9585719,RMB,Walmart,1995-01
1/21/95,7843777,USD,Costco,1995-01
1/22/95,1951306,EUR,Target,1995-01
1/23/95,8284320,RMB,eBay,1995-01
1/24/95,9961893,USD,Apple,1995-01
1/25/95,2674648,EUR,Walmart,1995-01
1/26/95,3576674,RMB,Costco,1995-01
1/27/95,346160,USD,Target,1995-01
1/28/95,5448103,EUR,eBay,1995-01
1/29/95,9823127,RMB,Apple,1995-01
1/30/95,7876331,USD,Walmart,1995-01
1/31/95,8725578,EUR,Costco,1995-01
2/1/95,981034,RMB,Target,1995-02
